skill,purpose,status,last_reviewed,review_doc,severity,decision,notes
ab-testing,"Designs and reviews A/B tests with explicit hypothesis, primary metric, guardrail metrics, variants, sample-size assumptions, duration, stopping rules, instrumentation checks, and decision criteria. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/ab-testing-review.md,P2,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, expected_checks coverage, and per-skill DoD evidence."
accessibility-audit,"WCAG 2.1 AA automated scanning with axe-core plus manual checklist for keyboard, screen reader, and contrast",dod-complete,2026-06-05,docs/audits/skills/accessibility-audit-review.md,P2,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, expected_checks coverage, and per-skill DoD evidence."
accessibility-design,"Designs and implements WCAG 2.1 AA accessibility patterns for web applications using native HTML first, targeted ARIA only when needed, keyboard interaction maps, focus management, screen reader semantics, contrast tokens, accessible forms, reduced motion, and inclusive interaction requirements. [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/accessibility-design-review.md,P2,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, targeted eval coverage, and per-skill DoD evidence."
accessibility-testing,"Plan, execute, and report web accessibility tests with axe-core, Playwright/Jest evidence, keyboard scripts, screen reader smoke checks, color contrast validation, and explicit WCAG target scope. [EXPLICIT] axe-core"", ""keyboard accessibility",dod-complete,2026-06-05,docs/audits/skills/accessibility-testing-review.md,P2,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, targeted eval coverage, and per-skill DoD evidence."
accessibility-writing,"Rewrite and review content so it is accessible, understandable, inclusive, and safe to publish: alt text, plain language, reading-level estimates, descriptive links, helpful errors, non-sensory instructions, localization, and evidence-backed limits. [EXPLICIT] plain language"", ""inclusive language"", ""reading level"", ""descriptive links",dod-complete,2026-06-05,docs/audits/skills/accessibility-writing-review.md,P1,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, targeted eval coverage, and per-skill DoD evidence."
acta-formal,"Generates formal meeting records (actas) with legal/corporate format, numbered sections, signatures block, and branded HTML output. [EXPLICIT] acta de junta"", ""acta de consejo"", ""acta con firmas"", ""quorum",dod-complete,2026-06-05,docs/audits/skills/acta-formal-review.md,P1,completed-assets-dod,"Closed DoD with assets manifest, eval expected_checks coverage, targeted eval coverage, and per-skill DoD evidence."
admin-dashboards,"Build admin dashboard interfaces with data tables, filters, charts, CRUD operations, real-time data updates, RBAC, auditability, and operational UI states. Covers layout patterns, data contracts, state management, and safety gates. [EXPLICIT] back-office"", ""RBAC dashboard"", ""admin console",dod-complete,2026-06-05,docs/audits/skills/admin-dashboards-review.md,P1,completed-assets-dod,"Closed DoD with assets manifest, eval cases contract, targeted eval coverage, and per-skill DoD evidence."
agent-constitution-creator,"Creates deterministic agent.md constitutions with 22 required sections, registry-only tools, no-invention authority policy, validator-backed assets, and evidence-tagged [EXPLICIT]/[INFERRED]/[OPEN] context.",dod-complete,2026-06-05,docs/audits/skills/agent-constitution-creator-review.md,P1,completed-agent-constitution-creator-dod,"Closed DoD with assets manifest, 22-field schema, authority policy, deterministic validator fixtures, eval cases, examples, and per-skill validation evidence."
agent-creator,"[EXPLICIT] This skill should be used when the user asks to ""create an agent"", [EXPLICIT] add a subagent"", ""make a custom agent"", ""define agent definition"", [EXPLICIT] or ""build an agent for X"". Creates Claude Code custom agent definitions [EXPLICIT] with system prompts, tool restrictions, model selection, and reasoning [EXPLICIT] discipline. Use this skill whenever someone needs a new autonomous [EXPLICIT] subprocess for their project, even if they just say ""I need something [EXPLICIT] to handle X automatically"". [EXPLICIT]",dod-complete,2026-06-05,docs/audits/skills/agent-creator-review.md,P1,completed-assets-deterministic,"Validated on 2026-06-05 with check.sh, validate-skill-dod.py, and validate-skill-scripts.py for agent-creator."
ai-architecture-audit,"Audits existing AI system architectures against best practices — structural integrity, AI quality attributes, pattern adherence, anti-pattern detection, security compliance, and technical debt inventory. This skill should be used when the user asks to ""audit AI architecture"", ""review ML system quality"", ""assess AI technical debt"", evaluate AI compliance"", ""detect AI anti-patterns"", ""review AI security posture"", or mentions AI architecture review, AI system assessment, AI quality audit, drift monitoring audit, or AI governance review. [EXPLICIT]",pending,,,,,
